"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"ST_REELEICAO"
250001265969;"VALTER ESTEVAM";"#NULO";"DC";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";NA;"NÃO ELEITO";134;5057,1;"Recursos de partido político";"N"
250001129691;"HAILTON ANJOS DOS SANTOS FILHO";"#NULO";"DC";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PRETA";"OUTROS";"APTO";NA;"NÃO ELEITO";231;5057,1;"Recursos de partido político";"N"
250001129697;"SERGIO CASSAGNI";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"GERENTE";"APTO";NA;"NÃO ELEITO";451;4444,05;"Recursos próprios, Recursos de partido político";"N"
250001265959;"EGBERTO KUDO";"#NULO";"DC";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"AMARELA";"EMPRESÁRIO";"APTO";NA;"NÃO ELEITO";103;3872,1;"Recursos de partido político";"N"
250001265970;"LUCIANA CRISTINA MENDES SANTOS";"#NULO";"DC";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"PARDA";"DONA DE CASA";"APTO";NA;"NÃO ELEITO";317;6360,33;"Recursos de partido político";"N"
250001088416;"VINICIUS COSTA DE SOUZA";"#NULO";"MDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"BOMBEIRO CIVIL";"APTO";NA;"SUPLENTE";388;1000;"Recursos de partido político";"N"
250001088449;"MARIO PALUMBO JUNIOR";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"POLICIAL CIVIL";"APTO";2347170,43;"ELEITO POR QP";118395;288360;"Recursos de pessoas físicas";"N"
250001088462;"PATRICIA GOMES DA SILVA";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";150000;"SUPLENTE";273;25628;"Recursos de partido político, Recursos próprios, Recursos de pessoas físicas";"N"
250001088460;"VIVIANE FERREIRA PROCOPIO";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PSICÓLOGO";"APTO";NA;"SUPLENTE";828;45000;"Recursos de partido político";"N"
250001088402;"PEDRO ORLANDO PETRERE JUNIOR";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ODONTÓLOGO";"APTO";250406,46;"SUPLENTE";558;0;"#NULO";"N"
250001088465;"DANIELA BORGES BARRETTO";"#NULO";"MDB";"FEMININO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"PUBLICITÁRIO";"APTO";15539,95;"SUPLENTE";386;52340;"Recursos de partido político, Recursos de pessoas físicas";"N"
250001088443;"MARCO ANTONIO ZITO ALVARENGA";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"SERVIDOR PÚBLICO FEDERAL";"APTO";553088,92;"SUPLENTE";487;10600;"Recursos de partido político, Recursos próprios";"N"
250001088440;"SIDNEY DORING GUERRA";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"COMERCIANTE";"APTO";680627,89;"SUPLENTE";4618;75779;"Recursos de pessoas físicas, Recursos próprios";"N"
250001088463;"CRISTIANE TRIGUEIRO DE OLIVEIRA";"#NULO";"MDB";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS";"APTO";NA;"SUPLENTE";69;10000;"Recursos de partido político";"N"
250000651027;"ANTONIO EDUARDO DOS SANTOS";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADVOGADO";"APTO";567241,07;"SUPLENTE";2528;164023,39;"Recursos próprios, Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de partido político";"N"
250000651038;"JANDIRA DE MENEZES CREPALDI";"#NULO";"DEM";"FEMININO";"SUPERIOR COMPLETO";"VIÚVO(A)";"PARDA";"PEDAGOGO";"APTO";920834,17;"SUPLENTE";186;109088,13;"Recursos de partido político, Recursos próprios";"N"
250000651020;"ANDRÉ BEZERRA RIBEIRO SOARES";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";560204,18;"SUPLENTE";16425;364123,63;"Recursos de pessoas físicas, Recursos de partido político";"N"
250000651010;"JOSÉ DE DEUS ALENCAR";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"APTO";74000;"SUPLENTE";1295;112298,95;"Recursos próprios, Recursos de pessoas físicas, Recursos de partido político";"N"
250000651043;"JOSE ROBERTO BARBOSA DE SOUZA";"#NULO";"DEM";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"POLICIAL MILITAR";"APTO";16372;"SUPLENTE";4374;250863,38;"Recursos de pessoas físicas, Recursos de partido político";"N"
250000651046;"MARCELO ELIA CURY";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";441154,09;"SUPLENTE";965;176290,13;"Recursos de partido político, Recursos de pessoas físicas";"N"
250000651061;"HAIDEE ALVES DE AQUINO BAPTISTA";"#NULO";"DEM";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PEDAGOGO";"APTO";3700;"SUPLENTE";917;189469,88;"Recursos de pessoas físicas, Recursos próprios, Recursos de partido político";"N"
250000881949;"LUCAS PEREIRA CAVALCANTE DOS SANTOS";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ENGENHEIRO";"APTO";16000;"SUPLENTE";53;850;"Recursos de partido político";"N"
250000881906;"IARA REGINA CORREA GUSMÃO";"#NULO";"PTB";"FEMININO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"COMERCIANTE";"APTO";NA;"SUPLENTE";153;20000;"Recursos de partido político";"N"
250000881972;"ROWILSON FERNANDES DE CARVALHO JUNIOR";"#NULO";"PTB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"VIGILANTE";"APTO";NA;"SUPLENTE";198;0;"#NULO";"N"
250000881979;"JULIANA MOREIRA DOS SANTOS";"#NULO";"PTB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;"SUPLENTE";52;5801,8;"Recursos de partido político, Recursos próprios";"N"
250000881902;"ALBERTO RIBEIRO SILVA";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";2075000;"SUPLENTE";2277;7966;"Recursos próprios";"N"
250000881923;"PAULO JORGE VALENTIM";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"MÉDICO";"APTO";679911,74;"SUPLENTE";715;1200;"Recursos próprios";"N"
250000881922;"PATRICIA MAZZARIOLI DO NASCIMENTO PIVA";"#NULO";"PTB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ODONTÓLOGO";"APTO";336287,73;"SUPLENTE";630;20000;"Recursos de partido político";"N"
250000881964;"MARCO AURELIO NUNES DOS SANTOS";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"ADVOGADO";"APTO";NA;"SUPLENTE";2094;78000;"Recursos de partido político";"N"
250001054370;"JOSÉ OSCAR DIONÍZIO FARIAS";"#NULO";"PMN";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"PARDA";"CABELEIREIRO E BARBEIRO";"APTO";NA;"NÃO ELEITO";394;2021,95;"Recursos próprios, Recursos de partido político";"N"
250001054368;"DANIEL DE SOUZA CAMPOS";"#NULO";"PMN";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;"NÃO ELEITO";78;2000;"Recursos de partido político";"N"
250001054374;"ARABELA DA LUZ COELHO";"#NULO";"PMN";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";NA;"NÃO ELEITO";28;2000;"Recursos de partido político";"N"
250001181003;"MAURÍCIO SALAZAR AMORIN";"#NULO";"PCO";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"DESENHISTA";"APTO";NA;"NÃO ELEITO";7;1000;"Recursos de partido político";"N"
250000753986;"BRENO PENNA FREIRE";"#NULO";"PSL";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";NA;"SUPLENTE";404;3510,45;"Recursos de pessoas físicas, Recursos próprios";"N"
250000754044;"MIGUEL AFFONSO COIMBRA NETO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"POLICIAL MILITAR";"APTO";808150,21;"SUPLENTE";1206;93064;"Recursos próprios";"N"
250001272880;"LUIZ DE SOUSA CHAGAS";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"APTO";NA;"SUPLENTE";1029;7289;"Recursos de partido político, Recursos de outros candidatos, Recursos próprios";"N"
250000754015;"FRANCISCO BERTULINO FILHO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"AGENTE ADMINISTRATIVO";"APTO";NA;"SUPLENTE";1487;6912,74;"Recursos de pessoas físicas";"N"
250000754052;"YGUREY TIARAJU ELMANO";"#NULO";"PSL";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"VETERINÁRIO";"APTO";5e+05;"SUPLENTE";518;0;"#NULO";"N"
250000754038;"PAULO SÉRGIO OLIVEIRA";"#NULO";"PSL";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"MILITAR REFORMADO";"APTO";NA;"SUPLENTE";1797;10390,83;"Recursos de pessoas físicas, Recursos próprios";"N"
250000688236;"ROBERTA PINTO GRABERT";"#NULO";"NOVO";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"MÉDICO";"APTO";3510000;"SUPLENTE";5155;69890,25;"Recursos de pessoas físicas, Recursos de partido político, Recursos de Financiamento Coletivo";"N"
250000688219;"EDSON TEIXEIRA";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"APTO";10000;"SUPLENTE";9836;179339,35;"Recursos de pessoas físicas, Recursos de partido político, Recursos de Financiamento Coletivo, Recursos próprios";"N"
250000688244;"RODRIGO LOPES FERREIRA";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";19500;"SUPLENTE";1606;41424,39;"Recursos de pessoas físicas, Recursos de partido político, Recursos de Financiamento Coletivo";"N"
250000688229;"EDUARDO HERNANDES DOMINGUES";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ARQUITETO";"APTO";1031469,81;"SUPLENTE";1052;23715,5;"Recursos de pessoas físicas, Recursos de partido político, Recursos de Financiamento Coletivo, Recursos próprios";"N"
250000688245;"WILSON DE MELLO JUNIOR";"#NULO";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADMINISTRADOR";"APTO";676700;"SUPLENTE";496;13829,35;"Recursos de pessoas físicas, Recursos de partido político, Recursos de Financiamento Coletivo";"N"
250000919195;"ALINE ISABEL DA SILVA PAGANOTTI";"#NULO";"PSDB";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"DIVORCIADO(A)";"BRANCA";"OUTROS";"APTO";NA;"SUPLENTE";1856;7317,07;"Recursos de partido político";"N"
250000919230;"RUTE DA IGRAJA ASSUNÇÃO SOUZA";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"NUTRICIONISTA E ASSEMELHADOS";"APTO";NA;"SUPLENTE";192;7317,07;"Recursos de partido político";"N"
250000919200;"ADRIANA ALVES DA SILVA RAMALHO";"#NULO";"PSDB";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";1404885,09;"SUPLENTE";14610;281936,93;"Recursos de pessoas físicas, Recursos de partido político, Recursos de Financiamento Coletivo, Recursos próprios";"N"
250000919215;"VINICIUS SCHAEFER";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PROFESSOR DE ENSINO SUPERIOR";"APTO";NA;"SUPLENTE";3596;7373,82;"Recursos de partido político, Recursos próprios";"N"
250000919190;"ZERILDO MALAQUIAS DOS SANTOS";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"MOTORISTA PARTICULAR";"APTO";661277,88;"SUPLENTE";254;7317,07;"Recursos de partido político";"N"
250000919184;"EDSON RODRIGUES DE QUEIROZ";"#NULO";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";NA;"SUPLENTE";824;7317,07;"Recursos de partido político";"N"
250000919239;"SILAS DOS SANTOS DE OLIVEIRA";"#NULO";"PSDB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"APTO";NA;"SUPLENTE";199;9206,07;"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250000919210;"CAROLINA DOS SANTOS AGNELLO";"#NULO";"PSDB";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;"SUPLENTE";471;7317,07;"Recursos de partido político";"N"
250001154712;"MARIA DE LOURDES ANDRADE SILVA";"#NULO";"REDE";"FEMININO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";39574;"NÃO ELEITO";4070;148819,92;"Recursos de pessoas físicas, Recursos de outros candidatos, Recursos de Financiamento Coletivo, Recursos de partido político";"N"
250001154722;"JAIR FERRO MEIRA";"#NULO";"REDE";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"APTO";NA;"NÃO ELEITO";193;11066;"Recursos próprios, Recursos de Financiamento Coletivo, Recursos de pessoas físicas, Recursos de partido político";"N"
250001123222;"JOSE AGRIPINO DA SILVA";"#NULO";"PSB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;"SUPLENTE";607;60000;"Recursos de partido político";"N"
250001123255;"GILSON TEIXEIRA MEDEIROS";"#NULO";"PSB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"COMERCIANTE";"APTO";12000;"SUPLENTE";187;15000;"Recursos de partido político";"N"
250001123249;"ANE CAROLINE SOLLAR PEREIRA";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";572,74;"SUPLENTE";510;34800;"Recursos de pessoas físicas, Recursos de Financiamento Coletivo, Recursos de partido político, Recursos de outros candidatos";"N"
250001123261;"MARTHA RAQUEL ALVES LEITÃO";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";1200;"SUPLENTE";83;0;"#NULO";"N"
250001123262;"NILDO SILVESTRE DA SILVA";"#NULO";"PSB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS";"APTO";4000;"SUPLENTE";306;0;"#NULO";"N"
250001123231;"MARCOS ANTONIO COUTINHO DA SILVA";"#NULO";"PSB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA";"APTO";NA;"SUPLENTE";1451;700;"Recursos próprios";"N"
250001123211;"ALINE DA ROCHA PARRADO";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ADVOGADO";"APTO";786500;"SUPLENTE";355;24796,98;"Recursos próprios, Recursos de partido político, Recursos de pessoas físicas";"N"
250001123274;"BRUNO CYPRIANO RINCO";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";18600;"SUPLENTE";265;15600;"Recursos de partido político, Recursos próprios";"N"
250001123246;"RONALDO LEITE FONSECA";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";1220000;"SUPLENTE";939;15000;"Recursos de partido político";"N"
250001123282;"LAURA GASBARRO MARQUES";"#NULO";"PSB";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"MÉDICO";"APTO";3742500;"SUPLENTE";300;20040;"Recursos próprios, Recursos de partido político";"N"
250001123215;"LUIZ CARLOS GONCALVES PENHA";"#NULO";"PSB";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"COMERCIANTE";"APTO";303114,08;"SUPLENTE";99;17173,33;"Recursos próprios, Recursos de partido político";"N"
250001123284;"ELISABETH DE AMORIM AMANCIO";"#NULO";"PSB";"FEMININO";"ENSINO FUNDAMENTAL COMPLETO";"CASADO(A)";"BRANCA";"MECÂNICO DE MANUTENÇÃO";"APTO";NA;"SUPLENTE";516;20000;"Recursos de partido político";"S"
250000658742;"RAFAEL CAPALBO";"#NULO";"PATRIOTA";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"EMPRESÁRIO";"APTO";505396,09;"SUPLENTE";521;7076;"Recursos próprios";"N"
250000658717;"JORGE MANUEL PINTO VARELAS";"#NULO";"PATRIOTA";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";NA;"SUPLENTE";211;13000;"Recursos de pessoas físicas";"N"
250000658718;"ARTUR FIRMINO DA SILVA NETO";"#NULO";"PATRIOTA";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"EMPRESÁRIO";"APTO";3400;"SUPLENTE";331;0;"#NULO";"N"
250000658734;"CRISTIANE DAMO BERNART";"#NULO";"PATRIOTA";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS";"APTO";NA;"SUPLENTE";318;675;"Recursos de Financiamento Coletivo";"N"
250000658705;"ÉLVICO DOS SANTOS SANTANA";"#NULO";"PATRIOTA";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";202000;"SUPLENTE";256;3075,56;"Recursos próprios";"N"
250000885505;"NEZINHO GONCALVES NUNES";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"POLICIAL MILITAR";"APTO";67703;"SUPLENTE";1091;33785,49;"Recursos de partido político";"N"
250000885510;"VALDENILSO TEIXEIRA DE LIRA";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO FUNDAMENTAL INCOMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";92000;"SUPLENTE";1214;9812,99;"Recursos de partido político";"N"
250000885560;"GILMAR CURTOLO";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"APTO";1372435,9;"SUPLENTE";1667;43094,76;"Recursos de partido político, Recursos de pessoas físicas";"N"
250000885484;"GERSON FIUZA DE JESUS";"#NULO";"SOLIDARIEDADE";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"APOSENTADO (EXCETO SERVIDOR PÚBLICO)";"APTO";NA;"SUPLENTE";810;9812,99;"Recursos de partido político";"N"
250000885520;"ROSANGELA MOREIRA BARROS";"#NULO";"SOLIDARIEDADE";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADMINISTRADOR";"APTO";NA;"SUPLENTE";391;18212,84;"Recursos de partido político";"N"
250000885494;"JOAO FRANCISCO FERREIRA DO NASCIMENTO";"#NULO";"SOLIDARIEDADE";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"PROFESSOR DE ENSINO FUNDAMENTAL";"APTO";1575000;"SUPLENTE";2364;60104,97;"Recursos de partido político";"N"
250000885513;"MARIA DE LOURDES DO NASCIMENTO NUNES";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"MOTORISTA PARTICULAR";"APTO";NA;"SUPLENTE";179;11212,86;"Recursos de partido político";"N"
250000885521;"MARIA GORETE DA SILVA";"#NULO";"SOLIDARIEDADE";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ASSISTENTE SOCIAL";"APTO";NA;"SUPLENTE";388;33965,34;"Recursos de partido político";"N"
250000687522;"ARNALDO BISPO DO ROSÁRIO";"#NULO";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"ADVOGADO";"APTO";451722,35;"NÃO ELEITO";1752;37767,05;"Recursos de partido político, Recursos de pessoas físicas, Recursos próprios, Recursos de outros candidatos";"N"
250000687492;"ANTONIA KELE CRISTINA DOS SANTOS BIZERRA";"#NULO";"PC do B";"FEMININO";"SUPERIOR INCOMPLETO";"DIVORCIADO(A)";"PARDA";"OUTROS";"APTO";244,99;"NÃO ELEITO";900;39831,3;"Recursos de outros candidatos, Recursos de partido político";"N"
250000687511;"GLADYS WOSIACK D ALINCOURT";"#NULO";"PC do B";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";NA;"NÃO ELEITO";7;1041,38;"Recursos de partido político, Recursos de outros candidatos";"N"
250000687542;"KEILA PEREIRA FRANCISCO";"#NULO";"PC do B";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PARDA";"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS";"APTO";NA;"NÃO ELEITO";1772;63451,75;"Recursos de pessoas físicas, Recursos de partido político, Recursos de Financiamento Coletivo, Recursos de outros candidatos";"N"
250000687538;"JANAÍNA PEREIRA DE ARAÚJO";"#NULO";"PC do B";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PARDA";"OUTROS";"APTO";NA;"NÃO ELEITO";81;3041,38;"Recursos de partido político, Recursos de outros candidatos";"N"
250000687523;"CAMILA DE AGUIAR";"#NULO";"PC do B";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"APTO";NA;"NÃO ELEITO";2218;29484,43;"Recursos de partido político, Recursos de pessoas físicas, Recursos de Financiamento Coletivo";"N"
250000687491;"JOSÉ VALDENÊ TAVARES DE OLIVEIRA";"#NULO";"PC do B";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"APTO";NA;"NÃO ELEITO";1765;5442,23;"Recursos de partido político, Recursos de outros candidatos";"N"
250000687529;"MARÍLIA FIGUEIRA STRUMIELLO";"#NULO";"PC do B";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";627251,64;"NÃO ELEITO";111;3137,38;"Recursos próprios, Recursos de outros candidatos, Recursos de partido político";"N"
250000686824;"NORLAY ICLAY PEREIRA COSTA";"#NULO";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PARDA";"ADVOGADO";"APTO";439292,28;"SUPLENTE";91;22451,43;"Recursos de partido político, Recursos próprios";"N"
250000686856;"CAROLINA OLGA FERNANDEZ GOMEZ";"#NULO";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"INDÍGENA";"OUTROS";"APTO";NA;"SUPLENTE";106;10427,02;"Recursos de partido político, Recursos de pessoas físicas";"N"
250000686846;"ALZIRA BOMBONATO DE MELO RIOS DA SILVA";"#NULO";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENFERMEIRO";"APTO";65000;"SUPLENTE";546;6658,7;"Recursos de partido político";"N"
250000686817;"ANDRÉA WERNER SILVA BONOLI";"#NULO";"PSOL";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";6e+05;"SUPLENTE";17565;74794,23;"Recursos de pessoas físicas, Recursos de partido político";"N"
250000686822;"ELTON SILVA DOS SANTOS";"#NULO";"PSOL";"MASCULINO";"SUPERIOR INCOMPLETO";"SOLTEIRO(A)";"PARDA";"OUTROS";"APTO";NA;"SUPLENTE";269;8482,88;"Recursos de partido político, Recursos de pessoas físicas";"N"
250000686839;"RODRIGO JALLOUL";"#NULO";"PSOL";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"SOLTEIRO(A)";"BRANCA";"FEIRANTE, AMBULANTE E MASCATE";"APTO";NA;"SUPLENTE";1623;14823,93;"Recursos de pessoas físicas, Recursos de Financiamento Coletivo, Recursos de partido político";"N"
250000686818;"RUI TORQUATO OLIVEIRA";"#NULO";"PSOL";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PROFESSOR DE ENSINO FUNDAMENTAL";"APTO";335000;"SUPLENTE";1351;26004,89;"Recursos de pessoas físicas, Recursos de partido político";"N"
250000686873;"RENATA APARECIDA MORAIS DE VASCONCELOS";"#NULO";"PSOL";"FEMININO";"ENSINO MÉDIO COMPLETO";"DIVORCIADO(A)";"PRETA";"SERVIDOR PÚBLICO MUNICIPAL";"APTO";NA;"SUPLENTE";659;4219,74;"Recursos de partido político";"N"
250000686868;"JUSSARA BASSO DOS SANTOS";"#NULO";"PSOL";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"PRETA";"OUTROS";"APTO";NA;"SUPLENTE";21172;100151,76;"Recursos de Financiamento Coletivo, Recursos de pessoas físicas, Recursos de partido político";"N"
250000707268;"MARIA DA GRAÇA DIAS FERRARI";"#NULO";"PP";"FEMININO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"COMERCIANTE";"APTO";25000;"SUPLENTE";307;2950,5;"Recursos de pessoas físicas, Recursos de partido político";"N"
